symbol,company_name,sector,industry,market_cap,beta,dividend_yield,pe_ratio,pb_ratio,ps_ratio,date,open,high,low,close,volume,adj_close
AAPL,Apple Inc.,Technology,Consumer Electronics,4129783545856,1.107,0.37,37.3,55.76,9.92,01/02/2024,183.99,186.95,183.82,186.86,64885400,185.11
AAPL,Apple Inc.,Technology,Consumer Electronics,4129783545856,1.107,0.37,37.3,55.76,9.92,01/03/2024,179.55,180.53,177.38,179.66,73563100,178.21
AAPL,Apple Inc.,Technology,Consumer Electronics,4129783545856,1.107,0.37,37.3,55.76,9.92,01/04/2024,171.19,171.25,169.48,170.03,46240500,168.65
AAPL,Apple Inc.,Technology,Consumer Electronics,4129783545856,1.107,0.37,37.3,55.76,9.92,01/04/2025,219.81,223.68,218.9,223.19,36412700,222.43
AAPL,Apple Inc.,Technology,Consumer Electronics,4129783545856,1.107,0.37,37.3,55.76,9.92,01/05/2024,169.58,172.71,169.11,169.3,50383100,167.93
AAPL,Apple Inc.,Technology,Consumer Electronics,4129783545856,1.107,0.37,37.3,55.76,9.92,01/05/2025,209.08,214.56,208.9,213.32,57365700,212.59
AAPL,Apple Inc.,Technology,Consumer Electronics,4129783545856,1.107,0.37,37.3,55.76,9.92,01/07/2024,212.09,217.51,211.92,216.75,60402900,215.29
AAPL,Apple Inc.,Technology,Consumer Electronics,4129783545856,1.107,0.37,37.3,55.76,9.92,01/07/2025,206.67,210.19,206.14,207.82,78788900,207.38
AAPL,Apple Inc.,Technology,Consumer Electronics,4129783545856,1.107,0.37,37.3,55.76,9.92,01/08/2024,224.37,224.48,217.02,218.36,62501000,216.89
AAPL,Apple Inc.,Technology,Consumer Electronics,4129783545856,1.107,0.37,37.3,55.76,9.92,01/10/2024,229.52,229.65,223.74,226.21,63285000,224.94
AAPL,Apple Inc.,Technology,Consumer Electronics,4129783545856,1.107,0.37,37.3,55.76,9.92,01/10/2025,255.04,258.79,254.93,255.45,48713900,255.2
AAPL,Apple Inc.,Technology,Consumer Electronics,4129783545856,1.107,0.37,37.3,55.76,9.92,01/11/2024,220.97,225.35,220.27,222.91,65276700,221.66
AAPL,Apple Inc.,Technology,Consumer Electronics,4129783545856,1.107,0.37,37.3,55.76,9.92,01/12/2025,278.01,283.42,276.14,283.1,46587700,283.1
AAPL,Apple Inc.,Technology,Consumer Electronics,4129783545856,1.107,0.37,37.3,55.76,9.92,02/01/2024,187.15,188.44,183.89,185.64,82488700,183.9
AAPL,Apple Inc.,Technology,Consumer Electronics,4129783545856,1.107,0.37,37.3,55.76,9.92,02/01/2025,248.93,249.1,241.82,243.85,55740700,242.75
AAPL,Apple Inc.,Technology,Consumer Electronics,4129783545856,1.107,0.37,37.3,55.76,9.92,02/04/2024,169.08,169.34,168.23,168.84,49329500,167.47
AAPL,Apple Inc.,Technology,Consumer Electronics,4129783545856,1.107,0.37,37.3,55.76,9.92,02/04/2025,221.32,225.19,221.02,223.89,35905900,223.13
AAPL,Apple Inc.,Technology,Consumer Electronics,4129783545856,1.107,0.37,37.3,55.76,9.92,02/06/2025,200.28,202.13,200.12,201.7,35423300,201.28
